episode_E,Exploration Evolution
2103,0.09210526315789473
2104,0.20833333333333334
2105,0.17647058823529413
2106,0.23076923076923078
2107,0.125
2108,0.12790697674418605
2109,0.23529411764705882
2110,0.1111111111111111
2111,0.06666666666666667
2112,0.05
2113,0.11627906976744186
2114,0.15384615384615385
2115,0.03333333333333333
2116,0.027777777777777776
2117,0.21052631578947367
2118,0.2608695652173913
2119,0.13333333333333333
2120,0.15789473684210525
2121,0.11428571428571428
2122,0.0
2123,0.0
2124,0.08823529411764706
2125,0.09523809523809523
2126,0.16666666666666666
2127,0.13333333333333333
2128,0.05
2129,0.0625
2130,0.09433962264150944
2131,0.09523809523809523
2132,0.07526881720430108
2133,0.1111111111111111
2134,0.0
2135,0.11363636363636363
2136,0.06896551724137931
2137,0.1095890410958904
2138,0.10638297872340426
2139,0.0967741935483871
2140,0.05555555555555555
2141,0.08928571428571429
2142,0.057692307692307696
2143,0.10638297872340426
2144,0.06
2145,0.08379888268156424
2146,0.10526315789473684
2147,0.14285714285714285
2148,0.05813953488372093
2149,0.0967741935483871
2150,0.08247422680412371
2151,0.1111111111111111
2152,0.15151515151515152
2153,0.0
2154,0.08
2155,0.1
2156,0.1875
2157,0.15384615384615385
2158,0.028169014084507043
2159,0.11538461538461539
2160,0.1125
2161,0.16326530612244897
2162,0.1875
2163,0.12658227848101267
2164,0.08928571428571429
2165,0.045454545454545456
2166,0.09375
2167,0.1794871794871795
2168,0.14285714285714285
2169,0.07692307692307693
2170,0.13043478260869565
2171,0.07407407407407407
2172,0.03333333333333333
2173,0.0
2174,0.13333333333333333
2175,0.17391304347826086
2176,0.14285714285714285
2177,0.11666666666666667
2178,0.11363636363636363
2179,0.1
2180,0.09411764705882353
2181,0.06666666666666667
2182,0.10638297872340426
2183,0.08196721311475409
2184,0.1
2185,0.029411764705882353
2186,0.04918032786885246
2187,0.06666666666666667
2188,0.1276595744680851
2189,0.06896551724137931
2190,0.06451612903225806
2191,0.034482758620689655
2192,0.1111111111111111
2193,0.08
2194,0.04
2195,0.05263157894736842
2196,0.041666666666666664
2197,0.08064516129032258
2198,0.06896551724137931
2199,0.1276595744680851
2200,0.16129032258064516
2201,0.08333333333333333
2202,0.14285714285714285
2203,0.06521739130434782
2204,0.0
2205,0.125
2206,0.0
2207,0.08695652173913043
2208,0.15384615384615385
2209,0.14473684210526316
2210,0.09734513274336283
2211,0.09523809523809523
2212,0.13414634146341464
2213,0.038461538461538464
2214,0.0
2215,0.047619047619047616
2216,0.12121212121212122
2217,0.21428571428571427
2218,0.12121212121212122
2219,0.058823529411764705
2220,0.2
2221,0.11428571428571428
2222,0.13333333333333333
2223,0.0625
